,name,lat1,lat2,lon1,lon2,Number_of_shop,ratingMean,Number_of_rating_Mean,Number_of_busStop,Number_of_Mtr,Number_of_competitor,district,predicted_sales,has_shop,rent,disposal,cost_per_grid
0,001-001,22.188762,22.2128642,113.839997,113.87176193333332,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
1,001-002,22.188762,22.2128642,113.87176193333332,113.90352686666668,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
2,001-003,22.188762,22.2128642,113.90352686666668,113.9352918,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
3,001-004,22.188762,22.2128642,113.9352918,113.96705673333334,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
4,001-005,22.188762,22.2128642,113.96705673333334,113.99882166666669,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
5,001-006,22.188762,22.2128642,113.99882166666669,114.0305866,0,,,0,0,4,,0.011445536139542049,0,0.000915642891163364,0.0,0.000915642891163364
6,001-007,22.188762,22.2128642,114.0305866,114.06235153333334,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
7,001-008,22.188762,22.2128642,114.06235153333334,114.09411646666666,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
8,001-009,22.188762,22.2128642,114.09411646666666,114.1258814,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
9,001-010,22.188762,22.2128642,114.1258814,114.15764633333332,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
10,001-011,22.188762,22.2128642,114.15764633333332,114.18941126666668,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
11,001-012,22.188762,22.2128642,114.18941126666668,114.2211762,0,,,6,0,0,,1.4564679386510626,0,0.11651743509208501,0.0,0.11651743509208501
12,001-013,22.188762,22.2128642,114.2211762,114.25294113333334,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
13,001-014,22.188762,22.2128642,114.25294113333334,114.28470606666669,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
14,001-015,22.188762,22.2128642,114.28470606666669,114.316471,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
15,002-001,22.2128642,22.2369664,113.839997,113.87176193333332,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
16,002-002,22.2128642,22.2369664,113.87176193333332,113.90352686666668,0,,,5,0,0,,1.213723282209219,0,0.09709786257673753,0.0,0.09709786257673753
17,002-003,22.2128642,22.2369664,113.90352686666668,113.9352918,0,,,21,0,0,,5.097637785278719,0,0.40781102282229753,0.0,0.40781102282229753
18,002-004,22.2128642,22.2369664,113.9352918,113.96705673333334,0,,,20,0,1,,4.857754512871762,0,0.38862036102974096,0.0,0.38862036102974096
19,002-005,22.2128642,22.2369664,113.96705673333334,113.99882166666669,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
